Price,Lotsize(m2),Livingspacesize(m2),Buildyear
385000,132,123,1987
475000,152,140,1973
275000,130,98,1981
373000,148,110,1934
475000,1020,115,1924
425000,138,115,2004
475000,184,122,1986
695000,827,206,1972
550000,385,137,1990
385000,696,204,1994
300000,296,103,1964
295000,188,138,1974
649000,383,173,2008
360000,152,119,1976
319000,162,86,1988
538000,503,167,1990
225000,205,98,1983
325000,353,118,1965
299500,167,113,1990
725000,923,123,2019
325000,264,112,1911
475000,122,115,2015
450000,306,143,1977
479000,220,125,1969
4700000,1419,489,2016
485000,96,124,2011
290000,207,95,1960
323000,171,111,1990
395000,369,135,2011
325000,143,116,1996
649000,137,127,1961
495000,257,95,1989
1250000,7796,225,1974
645000,490,161,
375000,164,85,1969
825000,501,242,2006
385000,142,129,1970
345000,141,83,1948
440000,184,120,1990
269000,970,120,1905
250000,127,107,1979
325000,234,113,1968
259500,95,122,1972
425000,120,114,2016
469000,146,130,2014
549500,479,148,
450000,116,122,2006
399000,122,114,1976
325000,157,124,1962
725000,583,122,1935
385000,119,127,2015
550000,290,125,2008
550000,310,167,1994
549000,284,190,1999
350000,140,110,1988
440000,134,148,1970
500000,144,113,1960
825000,608,186,2000
359500,175,142,1973
250000,173,84,1995
325000,212,98,1980
350000,184,108,1974
395000,139,104,1923
365000,185,125,1967
409000,147,118,1975
385000,157,109,1964
325000,106,98,1984
450000,210,126,1997
185000,165,70,1962
275000,166,110,1974
350000,144,75,1964
345000,156,115,1977
315000,142,70,1960
389000,141,121,1979
760000,304,149,2001
385000,287,123,1961
525000,284,175,2004
410000,133,116,1990
350000,171,118,1972
399000,280,142,1985
349500,196,119,1995
575000,368,142,2020
225000,139,106,1910
329500,2370,90,1956
875000,278,223,1910
550000,929,159,1969
525000,572,189,1934
425000,710,144,1988
565000,789,71,Voor1906
275000,144,99,1979
490000,715,135,1991
350000,116,92,1984
500000,128,156,1998
389000,680,106,1937
298000,490,124,1964
1299069,3910,391,2002
550000,386,199,1903
350000,124,101,1988
550000,375,161,1989
325000,310,129,1920
389500,379,286,1792
219000,209,85,1960
395000,297,140,2008
539000,311,152,1998
242500,152,122,1967
399000,248,113,1982
450000,154,131,1997
275000,200,135,1981
450000,142,128,1982
250000,230,112,1969
360000,142,104,1996
397500,195,102,1875
685000,523,170,2000
365000,155,121,1962
269500,203,65,1926
450000,115,118,2001
300000,212,95,1957
389000,115,89,1988
500000,201,121,1969
297500,190,104,1952
525000,225,171,1992
385000,103,108,1991
425000,132,89,1985
1295000,740,370,2004
169500,178,145,1900
425000,445,106,1931
525000,324,142,1990
310000,141,93,1977
599000,431,160,1960
465000,160,124,2011
300000,127,119,1934
549000,498,179,1990
449000,271,101,1989
339000,219,84,1967
325000,159,91,1980
550000,1313,203,1940
345000,144,113,1973
685000,368,147,1977
385000,94,91,2010
275000,404,117,1960
489500,290,124,1990
375000,168,134,1975
625000,152,139,2010
579000,552,133,1989
345000,172,86,1905
500000,250,88,1955
217500,212,84,1947
319000,243,140,1980
475000,132,133,2009
275000,577,152,1933
400000,153,113,1964
695000,162,104,1961
685000,530,120,1923
179000,129,90,1971
375000,185,101,1997
345000,147,104,1991
215000,118,106,1987
450000,1773,150,1956
279000,179,115,1972
170000,201,81,1924
299500,185,131,1948
325000,387,106,1988
359000,342,146,1954
475000,270,158,1977
350000,140,110,2007
349500,182,119,1973
569000,760,174,1974
415000,1674,157,1993
400000,312,97,1967
650000,113,126,1890
349000,295,86,1953
649000,540,167,2003
350000,219,115,1965
529000,320,169,1876
259000,107,104,1920
210000,178,75,1929
645000,510,255,2008
475000,147,145,1998
350000,50,77,1964
429500,243,119,1964
265000,83,88,1910
625000,160,152,2001
425000,106,125,2010
425000,209,100,1967
299000,170,80,1968
359900,113,142,2003
525000,207,117,1993
489500,117,110,1998
500000,171,136,2003
225000,134,103,1965
289000,345,92,1973
365000,151,110,1981
625000,215,188,1996
230000,197,120,1935
495000,134,116,1956
259000,125,82,1951
300000,68,98,1980
345000,147,93,1964
249500,158,111,1975
775000,2430,303,1883
375000,64,58,1915
375000,231,144,1995
1095000,8760,229,1923
825000,305,164,2019
400000,145,117,1992
369000,248,118,1993
650000,310,127,1938
195000,273,85,1966
365000,383,116,1959
249000,180,87,1965
495000,52314,100,1840
350000,653,108,2004
369000,473,166,1984
385000,190,114,2012
338500,163,126,1974
439500,166,119,1975
375000,240,121,1987
417500,95,108,2004
600000,13610,121,1900
269500,246,120,1960
525000,143,136,2017
459000,127,149,1974
1395000,309,253,1900
750000,13150,171,1954
869000,465,200,2003
310000,535,71,1930
565000,326,163,1960
569000,294,187,1959
310000,155,77,1983
550000,770,161,2000
425000,272,135,1990
450000,152,133,1970
519000,132,111,1960
525000,547,135,1988
4350000,3085,417,1976
549000,114,122,1982
495000,559,133,1892
439000,210,144,1981
300000,169,130,1974
525000,781,168,1970
325000,120,89,1988
425000,558,143,1965
320000,157,120,1959
589000,340,123,1958
390000,220,106,1988
1050000,1798,176,1967
400000,477,92,1884
845000,385,128,1934
359500,307,139,2015
325000,252,139,1972
350000,241,151,1972
450000,144,132,1968
259000,111,77,1906
400000,127,115,1992
249500,206,135,1938
499500,833,230,1975
360000,187,112,1981
425000,156,89,1933
325000,588,95,1967
457500,202,93,1922
315000,196,117,1997
495000,132,126,2002
475000,211,146,1998
585000,1190,194,1981
325000,211,119,1971
295000,123,92,1975
545000,182,172,1978
340000,119,88,1935
300000,350,102,1910
389500,147,101,1986
239500,169,125,1975
528500,1038,127,1956
200000,131,96,1974
625000,2104,298,1916
285000,261,103,1939
350000,118,114,1978
585000,102,136,2015
425000,132,91,1987
269900,141,80,1900
425000,126,89,1927
875000,430,173,1998
798500,485,158,1989
385000,239,127,1970
575000,73,140,1900
325000,118,116,2016
450000,198,126,1988
675000,498,144,1938
385000,137,106,1988
275000,92,72,1911
669000,185,137,1989
439000,198,125,1972
469000,218,100,1998
325000,246,86,1955
325000,275,81,1910
400000,123,108,1986
399000,877,111,
345000,192,135,2021
429000,233,83,1950
798000,560,136,1993
249000,142,102,1969
495000,230,137,2009
439000,264,117,1992
275000,152,90,1985
350000,456,93,1946
325000,166,129,1980
325000,223,159,1984
195000,172,96,1975
285000,136,124,1981
325000,162,128,1981
340000,110,110,1990
270000,147,112,2008
519000,153,142,2010
400000,141,120,1974
289500,134,112,1975
587000,500,142,1900
375000,341,154,1978
1695000,2030,306,2002
320000,199,117,1970
180000,61,66,1920
385000,167,132,1969
420000,339,147,1950
225000,148,114,1976
375000,178,120,1973
450000,147,127,2017
725000,326,167,2016
269000,177,95,1971
385000,124,105,1988
900000,234,161,1957
875000,588,159,2000
485000,86,115,1999
875000,620,240,2002
425000,513,144,1964
217500,305,95,1967
295000,239,125,1981
295000,239,86,1904
595000,244,161,2004
624500,529,127,1998
895000,6193,273,1920
262500,185,115,1979
315000,202,90,1954
485000,144,133,2007
450000,135,153,1972
439000,118,96,2007
698000,610,178,1930
450000,3330,92,1940
625000,340,152,1991
469000,306,133,1970
525000,268,126,2006
430000,98,96,1931
550000,302,214,2002
775000,557,194,1988
239000,212,76,1960
420000,122,130,1989
585000,390,156,1993
569000,230,157,1980
569000,275,164,1980
525000,400,133,1962
275000,213,100,1960
445000,355,109,1959
299500,178,105,1967
239000,108,91,1927
310000,179,129,1966
275000,331,81,1963
575000,239,143,1981
498500,132,140,2016
310000,293,128,1998
375000,231,90,1955
400000,124,113,1978
380000,107,115,1998
400000,1265,173,
298000,173,128,1998
589500,564,154,1938
389000,113,123,2019
325000,258,107,1996
450000,223,125,1993
448000,100,132,1956
395000,141,94,1984
539500,630,178,1995
995000,361,177,1934
250000,129,122,1971
260000,116,112,1976
875000,8825,144,1963
575000,147,129,2010
540000,145,147,2008
1075000,575,211,2020
515000,248,140,1996
800000,286,154,2014
375000,382,152,1975
519000,382,116,1955
425000,275,114,1988
339000,378,105,1968
350000,715,101,1948
475000,168,143,1971
325000,276,115,1960
215000,178,84,1968
419000,210,130,1977
275000,131,76,1961
2695000,1715,256,1934
450000,157,118,1942
349000,156,107,1984
350000,176,95,1960
439000,347,102,1915
239000,135,111,1981
389000,311,153,2008
289000,338,101,1978
600000,165,141,1930
350000,159,102,1930
499000,291,139,
495000,125,137,2007
225000,285,85,1860
285000,155,75,1910
365000,152,126,1968
300000,199,110,1956
975000,931,230,2019
264000,152,117,1981
535000,206,121,2017
425000,148,105,1999
585000,505,174,1994
300000,231,132,1975
375000,361,111,1963
600000,153,166,2007
219000,110,71,1935
305000,152,137,2016
275000,177,125,1972
550000,345,95,1933
369500,248,137,1985
469000,1410,125,1994
345000,148,105,1968
675000,277,145,2019
425000,270,121,2003
319500,161,95,1906
365000,176,137,2019
389500,393,160,1976
310000,260,79,1913
465000,257,155,1996
400000,152,136,1999
549000,4625,328,1932
450000,146,109,1981
399000,448,83,1966
499500,310,140,2003
279000,483,116,1962
350000,655,142,1930
319000,62,94,1983
275000,372,118,1951
194500,123,112,1890
785000,226,150,1998
450000,102,118,1928
300000,107,108,1982
340000,145,97,1966
382500,280,95,1999
595000,6820,148,2022
540000,4826,148,2022
269000,222,113,1966
275000,189,130,1971
350000,172,107,1978
869000,150,182,1926
495000,155,142,1997
269000,260,100,1957
850000,25000,233,
550000,248,145,1898
450000,3740,116,1967
565000,297,162,2001
415000,114,120,1977
429000,153,118,1989
765000,294,130,
565000,960,145,1942
812000,555,184,1992
399500,257,119,1975
525000,103,132,1999
989000,568,199,2004
400000,209,139,1975
685000,313,164,1922
625000,331,151,1987
335000,54,94,2019
925000,1914,211,1939
199500,145,70,1933
1099000,430,210,1988
875000,265,153,1978
450000,186,92,1993
390000,173,106,2016
450000,89,87,1942
700000,298,161,1994
415000,285,124,1990
225000,17,82,1976
185000,519,115,1968
325000,150,102,2000
450000,346,150,2003
249000,226,95,1929
340000,176,112,1955
239000,82,90,1924
339000,162,110,1981
600000,235,129,1938
995000,175,253,1906
349000,137,129,2011
285000,137,95,1984
469000,225,89,1947
467500,307,88,1956
380000,131,106,1994
369000,115,118,1978
775000,2610,174,1979
325000,113,83,1991
325000,158,112,1983
325000,262,136,
589000,195,161,1976
930000,435,185,2007
650000,219,129,2012
520000,115,144,2002
495000,122,127,2002
275000,150,106,1934
389000,143,110,1990
350000,183,116,1981
325000,102,92,1996
455000,115,138,2018
300000,124,71,1950
350000,120,118,1998
350000,135,105,1935
625000,347,194,1981
1195000,1035,252,2008
385000,242,116,1961
550000,211,144,1978
575000,1035,173,1950
335000,135,91,1986
800000,171,106,1959
550000,484,131,1966
439500,203,100,1967
895000,369,184,2008
425000,83,148,2001
160000,140,80,1953
249000,127,88,1962
375000,228,99,1999
825000,640,222,2008
875000,393,261,1994
250000,112,96,1954
498000,450,115,1971
395000,198,123,1978
189000,85,64,1940
299500,133,114,1987
775000,480,166,1998
245000,103,107,1930
290000,322,111,1967
444000,122,128,1991
399000,37,65,1909
495000,283,162,2004
389000,170,115,1970
200000,271,125,1972
400000,123,106,1980
439500,663,199,1927
275000,221,95,1975
475000,6897,120,1970
1135000,1060,251,2015
425000,149,130,1979
415000,122,116,1993
232000,92,73,1932
725000,1440,161,1980
695000,545,159,1963
550000,126,104,1995
325000,448,159,1998
269000,157,110,1980
535000,138,142,2007
575000,158,133,2001
725000,252,171,1999
259500,115,94,1919
549000,185,152,1960
370000,134,129,1993
269500,121,92,1999
199000,199,115,1927
750000,228,167,2016
585000,535,172,1999
350000,86,100,1895
375000,226,96,1945
350000,231,111,1992
419500,296,149,1974
879000,662,170,1965
789000,535,135,1992
299000,135,120,1979
1395000,755,187,2013
469000,179,155,2001
695000,132,252,1900
439000,188,121,1992
455000,160,108,1959
292500,140,105,1993
450000,234,111,1987
359000,249,113,1987
525000,129,118,2004
395000,319,131,1967
320000,155,98,1957
950000,193,192,1924
490000,1137,168,1995
399000,960,112,1973
569000,115,110,1938
442500,357,175,1971
275000,131,110,1986
695000,413,184,1993
450000,250,119,
340000,151,84,1960
400000,253,100,1992
450000,295,138,1977
399500,275,135,1970
400000,515,231,1898
345000,154,123,1989
575000,3350,116,1940
750000,362,178,2001
300000,165,98,1968
315000,143,117,1977
200000,165,104,1963
435000,148,132,1968
695000,4370,102,1965
1250000,126,227,2007
675000,425,113,1920
625000,416,165,1962
319500,94,114,1954
209500,178,120,1972
800000,410,122,1998
375000,125,119,1999
295000,146,115,2005
495000,364,110,1993
200000,144,81,1950
369000,221,96,1959
539000,320,126,1980
545000,171,133,1974
356000,551,103,1972
648000,565,229,1974
500000,151,124,1990
825000,245,152,2017
239500,125,112,1979
369000,152,134,1975
355000,177,98,1930
345000,226,114,1960
285000,102,85,1962
1245000,1090,274,1610
375000,108,112,1991
298000,232,68,2011
349000,59,59,1940
289000,115,113,1982
450000,267,99,1956
525000,115,118,1928
599500,562,141,1997
325000,620,125,1972
549000,211,118,1977
400000,273,129,1960
439000,263,116,1910
330000,171,120,1995
375000,132,87,1928
449000,131,124,1999
395000,235,146,1992
650000,158,160,2005
398000,312,136,2008
350000,118,113,2017
450000,327,170,1904
325000,163,117,2021
475000,69,97,1997
350000,151,116,1970
390000,124,131,1977
425000,184,140,1977
475000,50,116,2002
599000,1624,168,1920
300000,323,94,1976
525000,496,154,1986
485000,279,157,1997
275000,128,100,1929
925000,267,116,1916
285000,209,99,1919
437500,232,124,1987
325000,142,121,2011
289000,266,123,1968
475000,98,117,1909
300000,139,89,1931
525000,229,110,1934
319000,278,126,1975
499000,1137,309,1918
365000,450,114,2003
650000,112,190,1972
579000,180,154,2002
375000,285,137,1965
499000,268,126,1971
489000,149,135,2006
335000,278,111,1990
465000,182,129,1999
649000,3030,132,1995
625000,615,184,2002
269000,618,135,1954
1950000,840,358,2011
360000,144,89,1966
315000,116,100,1965
300000,185,101,1989
325000,151,116,2006
485000,222,144,1998
350000,212,123,2016
765000,1045,232,1975
359000,245,110,1994
300000,139,109,1968
349000,158,105,1994
395000,99,85,1906
385000,155,117,1991
690000,187,168,2002
635000,462,153,2020
524000,169,131,1996
529000,1505,164,1997
300000,226,113,1981
385000,156,113,1990
1195000,145,174,Voor1906
295000,160,115,1973
435000,256,109,1961
275000,162,108,1973
350000,165,122,1963
375000,115,109,1954
425000,182,142,2003
695000,220,159,2000
375000,110,85,2008
700000,532,272,2002
495000,380,146,1999
340000,120,115,2016
499000,193,155,1970
450000,110,119,1938
350000,146,109,2004
275000,174,89,1968
375000,181,147,1967
525000,191,141,1994
435000,126,96,1928
965000,285,195,1929
695000,471,208,2012
270000,178,100,1964
289000,134,97,1985
865000,793,241,1984
339000,151,89,1963
649000,375,157,2006
319000,249,103,1951
490000,406,152,1987
279000,141,114,1982
725000,531,250,2009
925000,394,143,1921
425000,157,130,1961
500000,91,116,Na2020
435000,183,104,2013
345000,190,121,1970
550000,414,108,1967
399000,244,121,1961
325000,151,97,1968
725000,588,177,1997
509000,247,141,1968
425000,119,106,1988
450000,297,114,1989
375000,175,102,1963
Prijsopaanvraag,700,141,1880
500000,636,138,1962
275000,144,107,1980
975000,156,157,1964
310000,145,123,1981
495000,263,164,1975
875000,591,215,2020
245000,131,98,1990
359500,125,100,1960
400000,136,129,1983
698000,12628,165,1959
360000,126,107,2011
995000,920,152,2007
899000,1195,269,1962
465000,326,86,1960
475000,123,115,2017
415000,140,105,1960
600000,105,101,1938
400000,123,117,2006
375000,278,119,1989
315000,226,112,1993
935000,663,330,2000
319000,335,85,1918
3475000,4225,627,2004
1050000,522,177,1903
445000,288,102,1959
1650000,9412,249,1931
700000,3436,332,1911
375000,130,106,1991
345000,239,130,1991
385000,141,113,1992
425000,268,110,1996
425000,155,127,2002
695000,179,155,1885
355000,336,147,1968
395000,204,133,1972
295000,260,135,1975
275000,154,122,1982
489000,115,100,1800
200000,318,86,1920
235000,316,100,1920
289000,203,95,1953
395000,156,124,1985
635000,2956,268,1790
475000,489,156,1999
275000,284,80,1993
675000,551,184,2007
800000,952,167,1993
325000,322,132,1962
425000,219,115,1969
375000,640,80,1973
429000,61,117,2020
425000,621,143,1936
530000,257,143,1982
345000,352,125,1906
350000,190,122,1973
350000,180,105,1972
285000,147,116,1903
209000,145,101,1975
379000,240,132,2008
525000,224,142,2017
350000,167,137,1973
494000,286,133,1981
290000,159,95,1986
292500,234,110,1970
450000,156,126,1971
450000,251,118,1973
775000,259,156,1995
725000,975,218,1973
315000,144,95,1950
575000,395,180,1999
450000,210,111,2005
315000,108,98,1982
425000,244,108,1937
475000,113,106,1939
375000,143,137,1974
595000,593,134,1962
475000,508,146,1991
450000,185,114,1968
249000,158,104,1977
342000,208,121,1984
315000,110,108,1990
599000,320,110,1968
350000,239,104,1964
279500,112,91,1935
359000,366,142,1968
469500,154,143,1970
675000,605,111,1938
1190000,703,177,2007
289500,168,130,1970
270000,217,109,1979
475000,276,104,1890
810000,295,181,1955
649000,197,165,1905
550000,699,132,1887
389000,110,122,1987
275000,125,70,1983
335000,133,111,1980
350000,140,100,1993
475000,137,129,2003
895000,435,207,2020
1250000,93,180,1722
525000,179,108,1930
395000,265,170,
585000,116,164,1875
339500,173,138,1968
425000,127,99,1984
325000,122,136,1936
1395000,9770,237,1971
475000,84,93,1930
375000,284,135,1985
275000,136,97,1990
250000,181,77,1953
390000,119,97,1992
990000,112,159,1885
190000,158,104,1935
495000,123,132,1998
375000,250,123,1925
485000,240,121,1971
450000,129,120,2019
350000,184,118,1989
300000,132,122,1980
250000,141,93,
330000,120,92,1986
369000,282,130,1995
325000,106,122,
400000,409,130,1974
340000,127,126,1974
495000,407,123,1992
875000,890,142,1997
575000,312,191,1995
225000,172,128,1965
750000,7535,160,1850
350000,210,99,2013
695000,670,166,2002
695000,460,210,1971
275000,137,90,2000
925000,211,240,1962
439000,123,113,1985
375000,194,76,1923
450000,205,155,1991
359000,146,106,1991
525000,340,133,1992
825000,3120,251,1927
295000,758,103,1966
875000,164,143,2001
515000,680,166,1989
369000,89,74,Voor1906
245000,114,79,1964
389500,255,135,1985
189500,120,69,1935
875000,5295,210,2018
365000,744,128,1982
625000,105,190,1642
299000,96,95,1920
785000,244,188,1996
375000,143,135,1969
525000,1770,95,1928
325000,151,105,1935
495000,403,175,2007
435000,106,100,1932
397500,147,118,2015
244500,153,80,2015
249000,217,83,1968
675000,143,141,2018
569000,212,162,1957
340000,146,105,2008
259000,142,76,1897
450000,304,102,2008
450000,235,112,1963
525000,152,165,1974
339000,221,128,1930
269500,218,108,1960
460000,116,137,2020
475000,499,158,1983
850000,274,175,2004
1100000,8860,320,1967
325000,901,106,1948
525000,840,157,1992
265000,135,102,1973
432000,218,147,1999
239000,205,107,1982
695000,615,281,1935
575000,730,251,1980
595000,506,136,2020
875000,2285,250,1919
382000,128,100,1990
285000,118,127,1970
1250000,1835,282,1860
2250000,58,253,1935
375000,125,122,1968
450000,273,115,2018
1795000,668,252,1980
168000,121,85,1930
645000,485,171,1978
225000,263,99,1961
389000,128,105,1984
285000,122,122,1972
875000,667,162,1992
835000,320,181,2004
399000,154,92,1965
400000,150,135,1978
375000,254,117,1974
450000,311,127,1988
350000,162,79,2014
1285000,397,316,1907
439500,340,156,1978
598000,815,112,1957
339000,143,107,1969
650000,119,131,1926
675000,111,123,1998
435000,142,113,1934
639000,460,146,1996
500000,261,120,1989
245000,142,89,1966
250000,100,111,1934
349000,244,165,1970
435000,135,115,1929
669000,294,147,1993
230000,120,116,1935
750000,2475,179,1926
395000,117,118,2001
459000,140,113,1990
375000,227,126,1959
475000,231,109,1998
415000,144,113,1985
450000,102,122,2017
375000,164,133,1969
615000,330,153,1998
435000,191,168,2004
275000,195,103,1988
650000,3310,229,1962
675000,229,141,2006
759000,11950,127,1939
374500,160,110,1975
269000,274,101,1976
269000,644,126,1938
565000,737,130,1972
275000,194,90,1965
739000,257,181,1988
550000,10400,105,1926
599000,340,186,1988
775000,342,178,2021
289000,202,92,1926
675000,207,107,1997
350000,123,125,1998
465000,114,143,2017
385000,96,93,1926
315000,85,85,1895
400000,374,114,1969
339000,147,87,1982
550000,175,154,1976
290000,116,121,1988
269000,638,114,1965
675000,656,227,2007
349500,402,120,1988
450000,144,131,2009
700000,260,174,1994
305000,134,79,1908
275000,113,102,1976
620000,457,140,1924
215000,116,74,1990
675000,717,148,
389500,220,115,2015
1745000,740,303,1969
375000,254,117,19740
450000,311,127,19880
350000,162,79,20140
1285000,397,316,19070
439500,340,156,19780
598000,815,112,19570
339000,143,107,19690
650000,119,131,19260
675000,111,123,19980
435000,142,113,19340
639000,460,146,19960
500000,261,120,19890
245000,142,89,19660
250000,100,111,19340
349000,244,165,19700
435000,135,115,19290
669000,294,147,19930
230000,120,116,19350
750000,2475,179,19260
395000,117,118,20010
459000,140,113,19900
375000,227,126,19590
475000,231,109,19980
415000,144,113,19850
450000,102,122,20170
375000,164,133,19690
615000,330,153,19980
435000,191,168,20040
275000,195,103,19880
650000,3310,229,19620
675000,229,141,20060
759000,11950,127,19390
374500,160,110,19750
269000,274,101,19760
269000,644,126,19380
565000,737,130,19720
275000,194,90,19650
739000,257,181,19880
550000,10400,105,19260
599000,340,186,19880
775000,342,178,20210
289000,202,92,19260
675000,207,107,19970
350000,123,125,19980
465000,114,143,20170
385000,96,93,19260
315000,85,85,18950
400000,374,114,19690
339000,147,87,19820
550000,175,154,19760
290000,116,121,19880
269000,638,114,19650
675000,656,227,20070
349500,402,120,19880
450000,144,131,20090
305000,134,79,19080
275000,113,102,19760
620000,457,140,19240
215000,116,74,19900
389500,220,115,20150
1745000,740,303,19690
435000,138,152,20070
365000,240,108,19730
650000,272,162,19920
750000,1800,351,19360
449000,128,132,19800
499000,156,117,19880
429000,323,144,19100
360000,203,87,19600
600000,180,140,20020
549000,105,107,19340
750000,200,139,19230
389500,130,116,20170
297500,89,101,20100
298000,282,84,19640
395000,131,108,19990
350000,215,147,19500
199000,152,101,19140
325000,145,133,19720
650000,327,145,20030
500000,320,146,19730
385000,130,124,20120
395000,158,117,19610
1795000,50780,612,19980
295000,143,90,19310
525000,372,160,19910
405000,158,126,19690
995000,465,251,19300
425000,116,137,18830
249500,223,84,19550
475000,269,183,19970
1050000,114,258,18850
495000,216,105,19200
419000,671,134,18950
265000,228,110,19390
375000,132,104,19350
525000,844,177,19650
525000,847,124,19380
650000,262,137,19340
475000,369,120,19730
275000,119,109,19810
340000,116,113,19810
325000,120,94,19850
350000,551,129,19820
365000,137,114,19840
199500,110,84,19230
587500,325,173,19620
1750000,8795,605,19700
385000,203,141,19710
249000,176,78,19510
349000,330,117,19860
639000,249,160,19670
295000,115,76,19520
485000,123,86,19970
345000,151,137,19730
499500,295,164,20050
319000,147,118,19720
280000,165,118,19670
695000,546,216,20070
325000,157,110,19930
315000,107,76,19260
290000,302,71,19540
550000,275,158,19690
450000,130,108,
298500,225,100,19130
375000,94,102,19970
469500,185,143,19970
325000,242,93,19220
449000,1078,205,19830
299500,131,100,19400
389000,165,142,19710
